,Reference,Imine_SMILES,pro_nucleophile_SMILES,Reaction,Catalyst,Catalyst_Type,Co-Catalyst,Additive,Solvent,Temp,Time,eq_imine,eq_nu,eq_catalyst(mol%),ee,yield,rxn_type
10,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,O=C(O)[C@H]1NCC[C@@H]1O,Secondary Amine,,,Acetone,25,48h,1,xs,35,76,56,Optimization
11,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,O=C(O)[C@H]1C[C@@H](O)CN1,Secondary Amine,,,Acetone,25,48h,1,xs,35,12,22,Optimization
12,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,O=C(O)[C@@H]1C[C@@H](O)CN1,Secondary Amine,,,Acetone,25,48h,1,xs,35,15,22,Optimization
13,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,C1CN[C@H](CN2CCCC2)C1,Secondary Amine,,,Acetone,25,48h,1,xs,35,0,26,Optimization
14,"J. Am. Chem. Soc. 2000, 122, 38, 9336–9337",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,Acetone,25,48h,1,xs,35,16,60,Optimization
15,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,CC(C)=O,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,12h,1,xs,35,94,50,Optimization
16,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,CCC(C)=O,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1_CCC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,12h,1,xs,35,99,96,Optimization
17,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,COCC(C)=O,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1_COCC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,12h,1,xs,35,98,93,Optimization
18,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,CC(=O)CO,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1_CC(=O)CO,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,12h,1,xs,35,99,92,Optimization
19,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",CCCC/C=N/c1ccc(OC)cc1,CC(C)=O,CCCC/C=N/c1ccc(OC)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,73,74,Optimization
20,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,93,90,Optimization
21,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/COCc2ccccc2)cc1,CC(C)=O,COc1ccc(/N=C/COCc2ccccc2)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,75,82,Optimization
22,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",C=CCC/C=N/c1ccc(OC)cc1,CC(C)=O,C=CCC/C=N/c1ccc(OC)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,80,60,Optimization
23,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/CCc2ccccc2)cc1,CC(C)=O,COc1ccc(/N=C/CCc2ccccc2)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,93,80,Optimization
24,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/c2ccc3ccccc3c2)cc1,CC(C)=O,COc1ccc(/N=C/c2ccc3ccccc3c2)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,96,35,Optimization
25,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/C(C)C)cc1,CC(C)=O,COc1ccc(/N=C/C(C)C)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,12-48h,1,xs,35,70,56,Optimization
26,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,,,,1,xs,30,93,90,Optimization
27,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",CC(C)C/C=N/c1ccc(Cl)cc1,CC(C)=O,CC(C)C/C=N/c1ccc(Cl)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,,,,1,xs,30,84,55,Optimization
28,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccccc1/N=C/CC(C)C,CC(C)=O,COc1ccccc1/N=C/CC(C)C_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,,,,1,xs,30,10,43,Optimization
29,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",CC(C)C/C=N/c1ccccc1O,CC(C)=O,CC(C)C/C=N/c1ccccc1O_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,,,,1,xs,30,10,51,Optimization
30,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,Acetone,25,48h,1,xs,35,93,90,Optimization
31,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,O=C(O)[C@H]1NCC[C@@H]1O,Secondary Amine,,,Acetone,25,48h,1,xs,35,76,56,Optimization
32,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,O=C(O)[C@@H]1C[C@H](O)CN1,Secondary Amine,,,Acetone,25,48h,1,xs,35,12,22,Optimization
33,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,O=C(O)[C@@H]1C[C@@H](O)CN1,Secondary Amine,,,Acetone,25,48h,1,xs,35,15,22,Optimization
34,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,C1CN[C@H](CN2CCCC2)C1,Secondary Amine,,,Acetone,25,48h,1,xs,35,0,26,Optimization
35,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/CC(C)C)cc1,CC(C)=O,COc1ccc(/N=C/CC(C)C)cc1_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,Acetone,25,48h,1,xs,35,16,60,Optimization
36,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,CC(=O)CO,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1_CC(=O)CO,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,3-24h,1,xs,20,99,92,Scope
37,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/c2ccc(C#N)cc2)cc1,CC(=O)CO,COc1ccc(/N=C/c2ccc(C#N)cc2)cc1_CC(=O)CO,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,3-24h,1,xs,20,99,88,Scope
38,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/c2ccc(Br)cc2)cc1,CC(=O)CO,COc1ccc(/N=C/c2ccc(Br)cc2)cc1_CC(=O)CO,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,3-24h,1,xs,20,98,90,Scope
39,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/c2ccc(-c3ccccc3)cc2)cc1,CC(=O)CO,COc1ccc(/N=C/c2ccc(-c3ccccc3)cc2)cc1_CC(=O)CO,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,3-24h,1,xs,20,94,79,Scope
40,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/c2ccccc2)cc1,CC(=O)CO,COc1ccc(/N=C/c2ccccc2)cc1_CC(=O)CO,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,3-24h,1,xs,20,93,83,Scope
41,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/c2ccc(C)cc2)cc1,CC(=O)CO,COc1ccc(/N=C/c2ccc(C)cc2)cc1_CC(=O)CO,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,3-24h,1,xs,20,86,85,Scope
42,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/C=N/c2ccc(OC)cc2)cc1,CC(=O)CO,COc1ccc(/C=N/c2ccc(OC)cc2)cc1_CC(=O)CO,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,3-24h,1,xs,20,61,88,Scope
43,"J. Am. Chem. Soc. 2002, 124, 5, 827–833",COc1ccc(/N=C/C(C)C)cc1,CC(=O)CO,COc1ccc(/N=C/C(C)C)cc1_CC(=O)CO,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,3-24h,1,xs,20,65,57,Scope
44,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1ccccc1,CC(C)=O,COc1ccccc1/N=C/c1ccccc1_CC(C)=O,C1CN[C@H](C[NH+]2CCCC2)C1,Secondary Amine,O=C1[C@]2(CC[C@@H](C1)C2(C)C)CS(=O)([O-])=O,,DMSO,25,24-48h,1,xs,20,2,43,Optimization
45,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1ccccc1,CC(C)=O,COc1ccccc1/N=C/c1ccccc1_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,DMSO,25,24-48h,1,xs,20,16,45,Optimization
46,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1ccc(NC(C)=O)cc1,CC(C)=O,COc1ccccc1/N=C/c1ccc(NC(C)=O)cc1_CC(C)=O,C1CN[C@H](C[NH+]2CCCC2)C1,Secondary Amine,O=C1[C@]2(CC[C@@H](C1)C2(C)C)CS(=O)([O-])=O,,DMSO,25,24-48h,1,xs,20,67,50,Optimization
47,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1ccc(NC(C)=O)cc1,CC(C)=O,COc1ccccc1/N=C/c1ccc(NC(C)=O)cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,24-48h,1,xs,20,51,48,Optimization
48,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1ccc(NC(C)=O)cc1,CC(C)=O,COc1ccccc1/N=C/c1ccc(NC(C)=O)cc1_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,DMSO,25,24-48h,1,xs,20,60,48,Optimization
49,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1ccc([N+](=O)[O-])cc1,CC(C)=O,COc1ccccc1/N=C/c1ccc([N+](=O)[O-])cc1_CC(C)=O,C1CN[C@H](C[NH+]2CCCC2)C1,Secondary Amine,O=C1[C@]2(CC[C@@H](C1)C2(C)C)CS(=O)([O-])=O,,DMSO,25,24-48h,1,xs,20,55,40,Optimization
50,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1ccc([N+](=O)[O-])cc1,CC(C)=O,COc1ccccc1/N=C/c1ccc([N+](=O)[O-])cc1_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,24-48h,1,xs,20,40,50,Optimization
51,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1ccc([N+](=O)[O-])cc1,CC(C)=O,COc1ccccc1/N=C/c1ccc([N+](=O)[O-])cc1_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,DMSO,25,24-48h,1,xs,20,80,48,Optimization
52,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1cccc2ccccc12,CC(C)=O,COc1ccccc1/N=C/c1cccc2ccccc12_CC(C)=O,C1CN[C@H](C[NH+]2CCCC2)C1,Secondary Amine,O=C1[C@]2(CC[C@@H](C1)C2(C)C)CS(=O)([O-])=O,,DMSO,25,24-48h,1,xs,20,25,32,Optimization
53,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1cccc2ccccc12,CC(C)=O,COc1ccccc1/N=C/c1cccc2ccccc12_CC(C)=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMSO,25,24-48h,1,xs,20,86,42,Optimization
54,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1cccc2ccccc12,CC(C)=O,COc1ccccc1/N=C/c1cccc2ccccc12_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,DMSO,25,24-48h,1,xs,20,88,56,Optimization
55,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccccc1/N=C/c1ccccc1Cl,CC(C)=O,COc1ccccc1/N=C/c1ccccc1Cl_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,DMSO,25,24-48h,1,xs,20,75,47,Optimization
56,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccc(/N=C/c2ccccc2)cc1,CC(C)=O,COc1ccc(/N=C/c2ccccc2)cc1_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,DMSO,25,24h,1,xs,20,86,45,Scope
57,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,CC(C)=O,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,DMSO,25,24h,1,xs,20,89,52,Scope
58,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccc(/N=C/c2cccc3ccccc23)cc1,CC(C)=O,COc1ccc(/N=C/c2cccc3ccccc23)cc1_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,DMSO,25,24h,1,xs,20,70,46,Scope
59,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccc(/N=C/c2ccc(NC(C)=O)cc2)cc1,CC(C)=O,COc1ccc(/N=C/c2ccc(NC(C)=O)cc2)cc1_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,DMSO,25,24h,1,xs,20,51,58,Scope
60,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccc(/N=C/C2CCCCC2)cc1,CC(C)=O,COc1ccc(/N=C/C2CCCCC2)cc1_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,DMSO,25,24h,1,xs,20,62,38,Scope
61,Tetrahedron Letters 42 (2001) 199 – 201,COc1ccc(/N=C/C(C)C)cc1,CC(C)=O,COc1ccc(/N=C/C(C)C)cc1_CC(C)=O,CC1(C)SCN[C@@H]1C(=O)O,Secondary Amine,,,DMSO,25,24h,1,xs,20,50,45,Scope
62,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,CCC=O,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,4,4-5h,1,3,10,99,75,Optimization
63,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,CCC=O,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,4,20h,1,3,10,99,41,Optimization
64,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,CCC=O,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,0,20h,1,3,10,99,46,Optimization
65,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccccc2)cc1,CCC=O,COc1ccc(/N=C/c2ccccc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,4,4-5h,1,3,10,75,62,Optimization
66,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccccc2)cc1,CCC=O,COc1ccc(/N=C/c2ccccc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,0,20h,1,3,10,88,66,Optimization
67,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccccc2)cc1,CCC=O,COc1ccc(/N=C/c2ccccc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,10,98,80,Optimization
68,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccc(C#N)cc2)cc1,CCC=O,COc1ccc(/N=C/c2ccc(C#N)cc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,0,4-5h,1,3,10,98,75,Optimization
69,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccc(C#N)cc2)cc1,CCC=O,COc1ccc(/N=C/c2ccc(C#N)cc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,10,99,88,Optimization
70,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccc(C#N)cc2)cc1,CCC=O,COc1ccc(/N=C/c2ccc(C#N)cc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,10,99,88,Optimization
71,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccc(Br)cc2)cc1,CCC=O,COc1ccc(/N=C/c2ccc(Br)cc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-10,20h,1,3,10,99,65,Optimization
72,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2cccc(Br)c2)cc1,CCC=O,COc1ccc(/N=C/c2cccc(Br)c2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-10,20h,1,3,10,99,72,Optimization
73,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/C=N/c2ccc(OC)cc2)cc1,CCC=O,COc1ccc(/C=N/c2ccc(OC)cc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,10,55,50,Optimization
74,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccco2)cc1,CCC=O,COc1ccc(/N=C/c2ccco2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,10,84,80,Optimization
75,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccccn2)cc1,CCC=O,COc1ccc(/N=C/c2ccccn2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,10,99,86,Optimization
76,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2cccnc2)cc1,CCC=O,COc1ccc(/N=C/c2cccnc2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,10,99,80,Optimization
77,"Chem. Eur. J.2004,10, 1987 - 1997.",CC/C=N/c1ccc(OC)cc1,CCC=O,CC/C=N/c1ccc(OC)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,10,94,82,Optimization
78,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccccn2)cc1,CCC=O,COc1ccc(/N=C/c2ccccn2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,20,99,85,Scope
79,"Chem. Eur. J.2004,10, 1987 - 1997.",C(=N/c1ccccc1)\c1ccccn1,CCC=O,C(=N/c1ccccc1)\c1ccccn1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,20,99,78,Scope
80,"Chem. Eur. J.2004,10, 1987 - 1997.",Brc1ccc(/N=C/c2ccccn2)cc1,CCC=O,Brc1ccc(/N=C/c2ccccn2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,20,99,82,Scope
81,"Chem. Eur. J.2004,10, 1987 - 1997.",Brc1cccc(/N=C/c2ccccn2)c1,CCC=O,Brc1cccc(/N=C/c2ccccn2)c1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,20,99,56,Scope
82,"Chem. Eur. J.2004,10, 1987 - 1997.",Ic1ccc(/N=C/c2ccccn2)cc1,CCC=O,Ic1ccc(/N=C/c2ccccn2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,20,99,65,Scope
83,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccccn2)cc1,CCC=O,COc1ccc(/N=C/c2ccccn2)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,10,99,85,Scope
84,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccccn2)cc1,CCCC=O,COc1ccc(/N=C/c2ccccn2)cc1_CCCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,3,10,99,80,Scope
85,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1,CCCCCCC=O,COc1ccc(/N=C/c2ccc([N+](=O)[O-])cc2)cc1_CCCCCCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,10,20,94,77,Scope
86,"Chem. Eur. J.2004,10, 1987 - 1997.",COc1ccc(/N=C/c2ccccn2)cc1,CCCCCCC=O,COc1ccc(/N=C/c2ccccn2)cc1_CCCCCCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,-20,20h,1,10,20,99,78,Scope
87,"Chem. Eur. J.2004,10, 1987 - 1997.",CCOC(=O)/C=N/c1ccc(OC)cc1,CCC=O,CCOC(=O)/C=N/c1ccc(OC)cc1_CCC=O,O=C(O)[C@@H]1CCCN1,Secondary Amine,,,DMF,4,20h,1,3,10,99,67,Scope
